Date,Adj Close,Close,High,Low,Open,Volume
2006-09-27,299.07513427734375,362.00347900390625,362.00347900390625,362.00347900390625,362.00347900390625,713
2006-09-28,294.5916442871094,356.5765686035156,369.2603759765625,354.7676086425781,369.2603759765625,75399
2006-09-29,294.9913635253906,357.06036376953125,360.8465881347656,350.4765930175781,356.7658996582031,3399
2006-10-03,300.8997497558594,364.21209716796875,364.21209716796875,357.58624267578125,359.6896667480469,4219
2006-10-04,306.92999267578125,371.51104736328125,371.51104736328125,363.9176025390625,371.51104736328125,64382
2006-10-05,313.08184814453125,378.957275390625,378.957275390625,374.4348449707031,378.6207275390625,6703
2006-10-06,307.1385498046875,371.76348876953125,386.55072021484375,371.3848571777344,386.48760986328125,34312
2006-10-09,308.51141357421875,373.4252014160156,378.2000427246094,368.9448547363281,374.413818359375,12051
2006-10-10,311.10076904296875,376.559326171875,380.8924560546875,371.468994140625,379.0414123535156,15296
2006-10-11,304.87939453125,369.02899169921875,376.51727294921875,369.02899169921875,376.51727294921875,7178
2006-10-12,310.97906494140625,376.412109375,376.412109375,366.0000305175781,366.0000305175781,25279
2006-10-13,317.20037841796875,383.94244384765625,383.94244384765625,380.6400146484375,383.87933349609375,38032
2006-10-16,323.5433044433594,391.6200256347656,391.6200256347656,383.66900634765625,383.66900634765625,15688
2006-10-17,317.0787353515625,383.7951965332031,397.1310729980469,383.7951965332031,397.1310729980469,4409
2006-10-18,310.73577880859375,376.11761474609375,386.3824462890625,376.11761474609375,385.35174560546875,8699
2006-10-19,312.5257263183594,378.2841796875,382.8276062011719,368.6503601074219,374.413818359375,5336
2006-10-20,318.78173828125,385.8565673828125,385.8565673828125,379.6724548339844,379.6724548339844,7416
2006-10-23,324.0473327636719,392.23004150390625,393.3448486328125,383.26934814453125,383.26934814453125,1711
2006-10-26,330.5292663574219,400.0758972167969,400.0758972167969,391.24139404296875,392.9241638183594,10197
2006-10-27,336.7854309082031,407.6483154296875,408.09002685546875,404.7034912109375,407.98486328125,17197
2006-10-30,343.528076171875,415.8096923828125,415.8096923828125,415.8096923828125,415.8096923828125,3969
2006-10-31,350.40972900390625,424.13934326171875,424.13934326171875,424.13934326171875,424.13934326171875,7452
