Date,Adj Close,Close,High,Low,Open,Volume
2002-06-26,20.596799850463867,67.30000305175781,69.5,66.8499984741211,69.5,14936
2002-06-27,20.596799850463867,67.30000305175781,67.30000305175781,67.30000305175781,67.30000305175781,0
2002-06-28,20.596799850463867,67.30000305175781,67.30000305175781,67.30000305175781,67.30000305175781,0
2002-07-01,20.596799850463867,67.30000305175781,67.30000305175781,67.30000305175781,67.30000305175781,0
2002-07-02,20.596799850463867,67.30000305175781,67.30000305175781,67.30000305175781,67.30000305175781,0
2002-07-03,20.596799850463867,67.30000305175781,67.30000305175781,67.30000305175781,67.30000305175781,0
2002-07-04,20.596799850463867,67.30000305175781,67.30000305175781,67.30000305175781,67.30000305175781,0
2002-07-05,20.596799850463867,67.30000305175781,67.30000305175781,67.30000305175781,67.30000305175781,0
2002-07-08,20.596799850463867,67.30000305175781,67.30000305175781,67.30000305175781,67.30000305175781,0
2002-07-09,20.596799850463867,67.30000305175781,67.30000305175781,67.30000305175781,67.30000305175781,0
2002-07-10,20.596799850463867,67.30000305175781,67.30000305175781,67.30000305175781,67.30000305175781,0
2002-07-11,20.596799850463867,67.30000305175781,67.30000305175781,67.30000305175781,67.30000305175781,0
2002-07-12,20.596799850463867,67.30000305175781,67.30000305175781,67.30000305175781,67.30000305175781,0
2002-07-15,20.596799850463867,67.30000305175781,67.30000305175781,67.30000305175781,67.30000305175781,0
2002-07-16,20.596799850463867,67.30000305175781,67.30000305175781,67.30000305175781,67.30000305175781,0
2002-07-17,20.596799850463867,67.30000305175781,67.30000305175781,67.30000305175781,67.30000305175781,0
2002-07-18,20.596799850463867,67.30000305175781,67.30000305175781,67.30000305175781,67.30000305175781,0
2002-07-19,20.596799850463867,67.30000305175781,67.30000305175781,67.30000305175781,67.30000305175781,0
2002-07-22,20.596799850463867,67.30000305175781,67.30000305175781,67.30000305175781,67.30000305175781,0
2002-07-23,20.596799850463867,67.30000305175781,67.30000305175781,67.30000305175781,67.30000305175781,0
2002-07-24,20.596799850463867,67.30000305175781,67.30000305175781,67.30000305175781,67.30000305175781,0
2002-07-25,20.596799850463867,67.30000305175781,67.30000305175781,67.30000305175781,67.30000305175781,0
2002-07-26,20.596799850463867,67.30000305175781,67.30000305175781,67.30000305175781,67.30000305175781,0
2002-07-29,20.596799850463867,67.30000305175781,67.30000305175781,67.30000305175781,67.30000305175781,0
2002-07-30,20.596799850463867,67.30000305175781,67.30000305175781,67.30000305175781,67.30000305175781,0
2002-07-31,20.596799850463867,67.30000305175781,67.30000305175781,67.30000305175781,67.30000305175781,0
2002-08-01,20.596799850463867,67.30000305175781,67.30000305175781,67.30000305175781,67.30000305175781,0
2002-08-02,20.596799850463867,67.30000305175781,67.30000305175781,67.30000305175781,67.30000305175781,0
2002-08-05,20.596799850463867,67.30000305175781,67.30000305175781,67.30000305175781,67.30000305175781,0
2002-08-06,20.596799850463867,67.30000305175781,67.30000305175781,67.30000305175781,67.30000305175781,0
2002-08-07,20.596799850463867,67.30000305175781,67.30000305175781,67.30000305175781,67.30000305175781,0
2002-08-08,20.596799850463867,67.30000305175781,67.30000305175781,67.30000305175781,67.30000305175781,0
2002-08-09,20.596799850463867,67.30000305175781,67.30000305175781,67.30000305175781,67.30000305175781,0
2002-08-12,20.596799850463867,67.30000305175781,67.30000305175781,67.30000305175781,67.30000305175781,0
2002-08-13,20.596799850463867,67.30000305175781,67.30000305175781,67.30000305175781,67.30000305175781,0
2002-08-14,20.596799850463867,67.30000305175781,67.30000305175781,67.30000305175781,67.30000305175781,0
2002-08-15,20.596799850463867,67.30000305175781,67.30000305175781,67.30000305175781,67.30000305175781,0
2002-08-16,20.596799850463867,67.30000305175781,67.30000305175781,67.30000305175781,67.30000305175781,0
2002-08-19,20.596799850463867,67.30000305175781,67.30000305175781,67.30000305175781,67.30000305175781,0
2002-08-20,20.596799850463867,67.30000305175781,67.30000305175781,67.30000305175781,67.30000305175781,0
2002-08-21,20.596799850463867,67.30000305175781,67.30000305175781,67.30000305175781,67.30000305175781,0
2002-08-22,20.596799850463867,67.30000305175781,67.30000305175781,67.30000305175781,67.30000305175781,0
2002-08-23,20.596799850463867,67.30000305175781,67.30000305175781,67.30000305175781,67.30000305175781,0
2002-08-26,20.596799850463867,67.30000305175781,67.30000305175781,67.30000305175781,67.30000305175781,0
2002-08-27,20.596799850463867,67.30000305175781,67.30000305175781,67.30000305175781,67.30000305175781,0
2002-08-28,20.596799850463867,67.30000305175781,67.30000305175781,67.30000305175781,67.30000305175781,0
2002-08-29,20.596799850463867,67.30000305175781,67.30000305175781,67.30000305175781,67.30000305175781,0
2002-08-30,20.596799850463867,67.30000305175781,67.30000305175781,67.30000305175781,67.30000305175781,0
2002-09-02,20.596799850463867,67.30000305175781,67.30000305175781,67.30000305175781,67.30000305175781,0
2002-09-03,20.596799850463867,67.30000305175781,67.30000305175781,67.30000305175781,67.30000305175781,0
2002-09-04,20.596799850463867,67.30000305175781,67.30000305175781,67.30000305175781,67.30000305175781,0
2002-09-05,20.596799850463867,67.30000305175781,67.30000305175781,67.30000305175781,67.30000305175781,0
2002-09-06,20.596799850463867,67.30000305175781,67.30000305175781,67.30000305175781,67.30000305175781,0
2002-09-09,20.596799850463867,67.30000305175781,67.30000305175781,67.30000305175781,67.30000305175781,0
2002-09-10,20.596799850463867,67.30000305175781,67.30000305175781,67.30000305175781,67.30000305175781,0
2002-09-11,20.596799850463867,67.30000305175781,67.30000305175781,67.30000305175781,67.30000305175781,0
2002-09-12,20.596799850463867,67.30000305175781,67.30000305175781,67.30000305175781,67.30000305175781,0
2002-09-13,20.596799850463867,67.30000305175781,67.30000305175781,67.30000305175781,67.30000305175781,0
2002-09-16,20.596799850463867,67.30000305175781,67.30000305175781,67.30000305175781,67.30000305175781,0
2002-09-17,20.596799850463867,67.30000305175781,67.30000305175781,67.30000305175781,67.30000305175781,0
2002-09-18,20.596799850463867,67.30000305175781,67.30000305175781,67.30000305175781,67.30000305175781,0
2002-09-19,20.596799850463867,67.30000305175781,67.30000305175781,67.30000305175781,67.30000305175781,0
2002-09-20,20.596799850463867,67.30000305175781,67.30000305175781,67.30000305175781,67.30000305175781,0
2002-09-23,20.596799850463867,67.30000305175781,67.30000305175781,67.30000305175781,67.30000305175781,0
2002-09-24,20.596799850463867,67.30000305175781,67.30000305175781,67.30000305175781,67.30000305175781,0
2002-09-25,20.596799850463867,67.30000305175781,67.30000305175781,67.30000305175781,67.30000305175781,0
2002-09-26,20.596799850463867,67.30000305175781,67.30000305175781,67.30000305175781,67.30000305175781,0
2002-09-27,20.596799850463867,67.30000305175781,67.30000305175781,67.30000305175781,67.30000305175781,0
2002-09-30,20.596799850463867,67.30000305175781,67.30000305175781,67.30000305175781,67.30000305175781,0
2002-10-01,20.596799850463867,67.30000305175781,67.30000305175781,67.30000305175781,67.30000305175781,0
2002-10-02,20.596799850463867,67.30000305175781,67.30000305175781,67.30000305175781,67.30000305175781,0
2002-10-03,20.596799850463867,67.30000305175781,67.30000305175781,67.30000305175781,67.30000305175781,0
2002-10-04,20.596799850463867,67.30000305175781,67.30000305175781,67.30000305175781,67.30000305175781,0
2002-10-07,20.596799850463867,67.30000305175781,67.30000305175781,67.30000305175781,67.30000305175781,0
2002-10-08,20.596799850463867,67.30000305175781,67.30000305175781,67.30000305175781,67.30000305175781,0
2002-10-09,20.596799850463867,67.30000305175781,67.30000305175781,67.30000305175781,67.30000305175781,0
2002-10-10,20.596799850463867,67.30000305175781,67.30000305175781,67.30000305175781,67.30000305175781,0
2002-10-11,20.596799850463867,67.30000305175781,67.30000305175781,67.30000305175781,67.30000305175781,0
2002-10-14,20.596799850463867,67.30000305175781,67.30000305175781,67.30000305175781,67.30000305175781,0
2002-10-15,20.596799850463867,67.30000305175781,67.30000305175781,67.30000305175781,67.30000305175781,0
2002-10-16,20.596799850463867,67.30000305175781,67.30000305175781,67.30000305175781,67.30000305175781,0
2002-10-17,20.596799850463867,67.30000305175781,67.30000305175781,67.30000305175781,67.30000305175781,0
2002-10-18,20.596799850463867,67.30000305175781,67.30000305175781,67.30000305175781,67.30000305175781,0
2002-10-21,20.596799850463867,67.30000305175781,67.30000305175781,67.30000305175781,67.30000305175781,0
2002-10-22,20.596799850463867,67.30000305175781,67.30000305175781,67.30000305175781,67.30000305175781,0
2002-10-23,20.596799850463867,67.30000305175781,67.30000305175781,67.30000305175781,67.30000305175781,0
2002-10-24,20.596799850463867,67.30000305175781,67.30000305175781,67.30000305175781,67.30000305175781,0
2002-10-25,20.596799850463867,67.30000305175781,67.30000305175781,67.30000305175781,67.30000305175781,0
2002-10-28,20.596799850463867,67.30000305175781,67.30000305175781,67.30000305175781,67.30000305175781,0
2002-10-29,20.596799850463867,67.30000305175781,67.30000305175781,67.30000305175781,67.30000305175781,0
2002-10-30,20.596799850463867,67.30000305175781,67.30000305175781,67.30000305175781,67.30000305175781,0
